division	team_name	first_name	last_name	height	year
mens-d1	Delaware	Alex	Kazanecki	6-6	Fr
mens-d1	Delaware	Bouna	Kebe	6-9	Sr
mens-d1	Delaware	Alex	McFadden	6-1	So
mens-d1	Delaware	Nnanna	Njoku	6-9	Sr
mens-d1	Delaware	Cavan	Reilly	6-4	Sr
mens-d1	Delaware	Jayden	Taylor	6-8	Fr
mens-d1	Delaware St.	Jalen	StClair	6-1	Fr
mens-d1	Detroit Mercy	Zak	Abdalla	6-2	Fr
mens-d1	Detroit Mercy	Ayden	Carter	6-5	Jr
mens-d1	Detroit Mercy	Je'kel	Cotton	6-6	Fr
mens-d1	Detroit Mercy	Keshawn	Fisher	6-7	Fr
mens-d1	Detroit Mercy	Legend	Geeter	6-8	Sr
mens-d1	Detroit Mercy	Xavier	Istomin-Monroe	7-1	Fr
mens-d1	Detroit Mercy	Nate	Johnson	6-7	So
mens-d1	Detroit Mercy	Ryan	Kalambay	6-9	So
mens-d1	Detroit Mercy	Jared	Lary	6-6	Sr
mens-d1	Detroit Mercy	Orlando	Lovejoy	6-3	Sr
mens-d1	Detroit Mercy	London	Maiden	6-8	Jr
mens-d1	Detroit Mercy	TJ	Nadeau	6-5	So
mens-d1	Detroit Mercy	Tyler	Spratt	6-5	Fr
mens-d1	Detroit Mercy	Lance	Stone	6-7	Fr
mens-d1	Drake	Wilguens Jr	Exacte	6-6	Jr
mens-d1	Drexel	Horace	Simmons	6-6	So
mens-d1	Duke	Patrick	Ngongba	6-11	So
mens-d1	Duquesne	Cameron	Crawford	6-5	Sr
mens-d1	ETSU	Blake	Barkley	6-8	So
mens-d1	ETSU	Joseph	Carter	6-1	Fr
mens-d1	ETSU	Brayden	Crump	6-8	So
mens-d1	ETSU	Maki	Johnson	6-4	Jr
mens-d1	ETSU	Milton	Matthews	6-3	Sr
mens-d1	ETSU	Jordan	McCullum	6-8	So
mens-d1	ETSU	Cam	Morris III	6-8	Sr
mens-d1	ETSU	Henry	Sisemore	6-8	Fr
mens-d1	ETSU	Gabe	Sisk	6-5	Jr
mens-d1	ETSU	Jaylen	Smith	5-11	Jr
mens-d1	ETSU	Allen	Strothers	6-1	Sr
mens-d1	ETSU	Isaiah	Sutherland	6-7	Fr
mens-d1	ETSU	Brian	Taylor	6-4	Sr
mens-d1	East Carolina	Patrick	D'Arcy	6-6	Fr
mens-d1	East Texas A&M	London	Fields	6-5	Jr
mens-d1	East Texas A&M	Michael	Folarin	6-10	Sr
mens-d1	East Texas A&M	Damian	Garcia	6-5	Sr
mens-d1	East Texas A&M	Ronnie	Harrison	6-8	Jr
mens-d1	East Texas A&M	Gianni	Hunt	6-4	Sr
mens-d1	East Texas A&M	Alex	McCray	6-1	Jr
mens-d1	East Texas A&M	Tay	Mosher	6-7	Sr
mens-d1	East Texas A&M	Noah	Pagotto	6-8	Jr
mens-d1	East Texas A&M	Evan	Phelps	6-0	Jr
mens-d1	East Texas A&M	Mykol	Sanchez-Vega	6-5	Sr
mens-d1	East Texas A&M	Vinny	Sigona	6-0	Jr
mens-d1	East Texas A&M	Josh	Taylor	6-8	Sr
mens-d1	East Texas A&M	Parker	Whisenhunt	6-3	So
mens-d1	Eastern Ill.	Andrew	Austin	6-7	So
mens-d1	Eastern Ill.	Markus	Blackwell	6-2	Fr
mens-d1	Eastern Ill.	JT	Elder	6-7	Jr
mens-d1	Eastern Ill.	Nazareth	Fisher	6-10	Sr
mens-d1	Eastern Ill.	Zion	Fruster	6-2	Sr
mens-d1	Eastern Ill.	Kooper	Jacobi	6-7	Sr
mens-d1	Eastern Ill.	Prince	Johnson	6-8	Jr
mens-d1	Eastern Ill.	Terry	McMorris	6-7	So
mens-d1	Eastern Ill.	Malik	Olafioye	6-2	So
mens-d1	Eastern Ill.	Preston	Turner	6-6	Jr
mens-d1	Eastern Ill.	Andre	Washington	5-11	Sr
mens-d1	Eastern Ill.	Meechie	White	6-1	Jr
mens-d1	Eastern Ky.	Juan	Cranford, Jr	6-4	So
mens-d1	Eastern Mich.	Merritt	Alderink	6-7	So
mens-d1	Eastern Mich.	Mehki	Ellison	6-0	Sr
mens-d1	Eastern Mich.	Braelon	Green	6-3	Jr
mens-d1	Eastern Mich.	Mohammad	Habhab	6-9	Fr
mens-d1	Eastern Mich.	Carlos	Hart	6-5	Sr
mens-d1	Eastern Mich.	Gregory	Lawson	6-3	Fr
mens-d1	Eastern Mich.	Mak	Manciel	6-4	Sr
mens-d1	Eastern Mich.	Mbaye	N'Diaye	6-5	Fr
mens-d1	Eastern Mich.	Godslove	Nwabude	6-9	So
mens-d1	Eastern Mich.	Addison	Patterson	6-7	Sr
mens-d1	Eastern Mich.	Aidan	Rubio	6-7	Sr
mens-d1	Eastern Mich.	Jon	Sanders	6-7	Sr
mens-d1	Eastern Mich.	John	Shanu II	6-2	Sr
mens-d1	Eastern Mich.	Cooper	Smith	6-1	Sr
mens-d1	Elon	Ja'Juan	Carr	6-2	Sr
